Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,0,0.00,USD,"Working days per month (22), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,286.15999999999997,3433.92,USD,"Operating system (Linux), Quantity (4), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (100 GB), Instance type (t4g.xlarge)"
My Estimate,US East (N. Virginia),,Amazon Aurora MySQL-Compatible,480,141.93,2183.16,USD,"Change records per statement (0.38), Nodes (2), Instance Type (db.t2.medium), Instance Family (General purpose), Pricing Model (Reserved), Lease Offering Term (1yr), Purchase Option (Partial Upfront), Storage amount (1000 GB)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,149.65,1795.80,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,S3 Standard,0,23.7,284.40,USD,S3 Standard storage (1000 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,
My Estimate,US East (N. Virginia),,AWS Data Transfer,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (0)"
My Estimate,US East (N. Virginia),,AWS Lambda,0,0.1,1.20,USD,Number of requests (100000)
My Estimate,US East (N. Virginia),,Amazon EC2,0,118.11,1417.32,USD,"Operating system (Linux), Quantity (2), Pricing strategy (On-Demand Instances  ), Storage amount (100 GB), Instance type (t4g.large)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
